        nc     ,       np      ,      nTerms  
           2           1          34
         matIndTot                   GG
           1           0           0 ( -2.5760834259999998E-007, 0.73219108479999995     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           1           0 (  0.0000000000000000     ,  0.0000000000000000     ) ( -2.5760834259999998E-007,-0.73219108479999995     )
           0           0           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           0           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           1           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           2           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           0           1 (  9.1123232938509968     ,  3.2847134633448714     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           1           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  9.1123232938509968     , -3.2847134633448714     )
           0           0           2 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           3           0           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           1           0 ( -1.3007830594334974E-003,  4.7948196749024131E-003) (  0.0000000000000000     ,  0.0000000000000000     )
           1           2           0 (  0.0000000000000000     ,  0.0000000000000000     ) ( -1.3007830594334976E-003, -4.7948196749024131E-003)
           0           3           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           0           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           1           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           2           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           0           2 (  152.27869981055568     , -108.02741980041945     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           1           2 (  0.0000000000000000     ,  0.0000000000000000     ) (  152.27869981055568     ,  108.02741980041945     )
           0           0           3 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           4           0           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           3           1           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           2           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           3           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           4           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           3           0           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           1           1 ( 0.16023327223167638     , -1.4719962365736268     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           2           1 (  0.0000000000000000     ,  0.0000000000000000     ) ( 0.16023327223167597     ,  1.4719962365736263     )
           0           3           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           0           2 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           1           2 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           2           2 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           0           3 (  1598.3616394112635     , -7916.2356804079182     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           1           3 (  0.0000000000000000     ,  0.0000000000000000     ) (  1598.3616394112635     ,  7916.2356804079182     )
           0           0           4 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
